date,image,caption,ig_caption,alt_text,platforms,status
2026-08-03,images/us-001-what-does-the-data-not-say.jpg,"The chart shows what was measured. The story usually hides in what wasn't. Card 1 of Uncommon Strategies – a deck for connective thinking, with a nod to Eno and Schmidt's Oblique Strategies. Draw a card: uncommonsense.org.uk/strategies","The chart shows what was measured. The story usually hides in what wasn't. Card 1 of Uncommon Strategies – a deck for connective thinking, with a nod to Eno and Schmidt's Oblique Strategies. Draw a card – link in bio.",Uncommon Strategies card: 'What does the data not say?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-04,images/us-002-find-the-structural-cause-beneath-the-su.jpg,Events are what happen on the surface. Causes live in the plumbing. For when the news explains everything except why. The full deck: uncommonsense.org.uk/strategies,Events are what happen on the surface. Causes live in the plumbing. For when the news explains everything except why. The full deck – link in bio.,Uncommon Strategies card: 'Find the structural cause beneath the surface event'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-05,images/us-003-read-the-thing-no-one-in-the-room-has-re.jpg,Most rooms run on the same three sources. The advantage belongs to whoever brought a fourth. More strategies: uncommonsense.org.uk/strategies,Most rooms run on the same three sources. The advantage belongs to whoever brought a fourth. More strategies – link in bio.,Uncommon Strategies card: 'Read the thing no one in the room has read'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-06,images/us-004-slow-down-until-the-pattern-becomes-visi.jpg,Speed is how patterns stay invisible. Slowness is an analytical instrument. Stuck? Pick a card: uncommonsense.org.uk/strategies,Speed is how patterns stay invisible. Slowness is an analytical instrument. Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'Slow down until the pattern becomes visible'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-07,images/us-005-name-the-assumption-you-are-all-sharing.jpg,A shared assumption is invisible precisely because everyone in the room agrees with it. Name it and watch the problem change shape. Shuffle the deck: uncommonsense.org.uk/strategies,A shared assumption is invisible precisely because everyone in the room agrees with it. Name it and watch the problem change shape. Shuffle the deck – link in bio.,Uncommon Strategies card: 'Name the assumption you are all sharing'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-08,images/us-006-what-would-this-look-like-in-20-years.jpg,"Try the 20-year test. Most of what feels urgent today shrinks, while something quiet now turns out to be enormous. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Try the 20-year test. Most of what feels urgent today shrinks, while something quiet now turns out to be enormous. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'What would this look like in 20 years?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-09,images/us-007-change-the-unit-of-analysis.jpg,"Measure something different: the system instead of the person, the person instead of the firm. Reframing a problem does half the thinking. The rest of the deck: uncommonsense.org.uk/strategies","Measure something different: the system instead of the person, the person instead of the firm. Reframing a problem does half the thinking. The rest of the deck – link in bio.",Uncommon Strategies card: 'Change the unit of analysis'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-10,images/us-008-whose-interests-does-this-explanation-se.jpg,"Every explanation suits somebody. Asking who, isn't cynicism – it’s understanding better. Draw a card: uncommonsense.org.uk/strategies","Every explanation suits somebody. Asking who, isn't cynicism – it’s understanding better. Draw a card – link in bio.",Uncommon Strategies card: 'Whose interests does this explanation serve?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-11,images/us-009-look-for-the-thing-that-contradicts-your.jpg,Every conclusion needs stress testing. Look for the fact that would break yours. The full deck: uncommonsense.org.uk/strategies,Every conclusion needs stress testing. Look for the fact that would break yours. The full deck – link in bio.,Uncommon Strategies card: 'Look for the thing that contradicts your conclusion'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-12,images/us-010-what-is-the-question-no-one-is-asking.jpg,Meetings are full of answers. But what’s the question nobody has thought to – or dared to – ask. More strategies: uncommonsense.org.uk/strategies,Meetings are full of answers. But what’s the question nobody has thought to – or dared to – ask. More strategies – link in bio.,Uncommon Strategies card: 'What is the question no one is asking?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-13,images/us-011-connect-this-to-something-from-a-complet.jpg,Borrow an idea from a field that has never heard of your problem. That's where fresh thinking can come from. Stuck? Pick a card: uncommonsense.org.uk/strategies,Borrow an idea from a field that has never heard of your problem. That's where fresh thinking can come from. Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'Connect this to something from a completely different field'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-14,images/us-012-describe-it-to-someone-who-knows-nothing.jpg,Explaining an idea to someone who knows nothing about it is the quickest way to find out whether you understand it yourself. Shuffle the deck: uncommonsense.org.uk/strategies,Explaining an idea to someone who knows nothing about it is the quickest way to find out whether you understand it yourself. Shuffle the deck – link in bio.,Uncommon Strategies card: 'Describe it to someone who knows nothing about it'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-15,images/us-013-what-would-a-historian-make-of-this-mome.jpg,"Historians will have a name for this decade. It probably isn't the one we're using now. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Historians will have a name for this decade. It probably isn't the one we're using now. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'What would a historian make of this moment?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-16,images/us-014-strip-away-the-jargon-and-say-what-is-ac.jpg,Jargon protects ideas from scrutiny. Take it away and see what's left. The rest of the deck: uncommonsense.org.uk/strategies,Jargon protects ideas from scrutiny. Take it away and see what's left. The rest of the deck – link in bio.,Uncommon Strategies card: 'Strip away the jargon and say what is actually happening'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-17,images/us-015-find-the-human-story-inside-the-system.jpg,A system is an abstraction until you find one person affected by it. Then it's a story. Draw a card: uncommonsense.org.uk/strategies,A system is an abstraction until you find one person affected by it. Then it's a story. Draw a card – link in bio.,Uncommon Strategies card: 'Find the human story inside the system'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-18,images/us-016-what-does-this-look-like-from-the-outsid.jpg,"Everything looks normal from the inside, so step back far enough to see it as a stranger would. The full deck: uncommonsense.org.uk/strategies","Everything looks normal from the inside, so step back far enough to see it as a stranger would. The full deck – link in bio.",Uncommon Strategies card: 'What does this look like from the outside?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-19,images/us-017-follow-the-money-to-its-logical-end.jpg,Follow the money past its first stop. It rarely ends up where it says it does. More strategies: uncommonsense.org.uk/strategies,Follow the money past its first stop. It rarely ends up where it says it does. More strategies – link in bio.,Uncommon Strategies card: 'Follow the money to its logical end'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-20,images/us-018-which-orthodoxy-are-you-protecting.jpg,Orthodoxies never feel like orthodoxies from the inside. They feel like common sense. Stuck? Pick a card: uncommonsense.org.uk/strategies,Orthodoxies never feel like orthodoxies from the inside. They feel like common sense. Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'Which orthodoxy are you protecting?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-21,images/us-019-what-has-changed-recently-that-nobody-ha.jpg,Some changes arrive years before they’re named. The interesting work is spotting one that hasn't been named yet. Shuffle the deck: uncommonsense.org.uk/strategies,Some changes arrive years before they’re named. The interesting work is spotting one that hasn't been named yet. Shuffle the deck – link in bio.,Uncommon Strategies card: 'What has changed recently that nobody has named yet?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-22,images/us-020-ask-who-is-absent-from-this-conversation.jpg,"The guest list shapes the conversation. Who wasn't invited? 99 cards, one habit of mind: uncommonsense.org.uk/strategies","The guest list shapes the conversation. Who wasn't invited? 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Ask who is absent from this conversation'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-23,images/us-021-go-back-further-than-feels-necessary.jpg,"The story almost always starts earlier than the story says it does, so go back further than feels necessary. The rest of the deck: uncommonsense.org.uk/strategies","The story almost always starts earlier than the story says it does, so go back further than feels necessary. The rest of the deck – link in bio.",Uncommon Strategies card: 'Go back further than feels necessary'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-24,images/us-022-what-would-have-to-be-true-for-the-oppos.jpg,Take the strongest version of the view you disagree with and ask what would have to be true for it to be right. Draw a card: uncommonsense.org.uk/strategies,Take the strongest version of the view you disagree with and ask what would have to be true for it to be right. Draw a card – link in bio.,Uncommon Strategies card: 'What would have to be true for the opposite to be correct?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-25,images/us-023-separate-what-is-urgent-from-what-is-imp.jpg,Urgent things shout. Important things wait quietly. Confusing the two is how organisations stay busy without getting anywhere. The full deck: uncommonsense.org.uk/strategies,Urgent things shout. Important things wait quietly. Confusing the two is how organisations stay busy without getting anywhere. The full deck – link in bio.,Uncommon Strategies card: 'Separate what is urgent from what is important'. Cream serif type on a forest green background.,all,bluesky:ok
